Estação,Latitude,Longitude,219076_20190817_20200827_02_T1,219076_20200531_20200820_02_T1,219076_20210603_20210608_02_T1,219076_20210822_20210827_02_T1,219076_20190918_20200826_02_T1,219076_20200429_20200820_02_T1
Congonhas,"-23,61632","-46,663466",23,44,37,28,51,17
Grajaú-Parelheiros,"-23,776266","-46,696961",27,51,31,30,38,12
Guarulhos-PaçoMunicipal,"-23,455534","-46,518533",24,38,31,33,48,19
Itaim Paulista,"-23,501547","-46,420737",28,65,49,42,44,17
Jundiaí,"-23,192004","-46,897097",18,27,24,38,39,18
Marg.Tietê-PteRemédios,"-23,518706","-46,74332",42,44,44,43,51,21
Mooca,"-23,549734","-46,600417",23,35,35,30,47,15
Osasco,"-23,526721","-46,792078",46,44,42,61,59,20
Parque D.PedroII,"-23,544846","-46,627676",24,41,44,35,46,16
S.Bernardo-Centro,"-23,698671","-46,546232",20,44,36,28,49,16
Santana,"-23,505993","-46,62896",28,38,32,40,43,16
Santos-Ponta daPraia,"-23,981295","-46,30051",19,30,22,23,10,11
